id,artist,country,h,w,t,price
1721610-FEVVSFMQ-6.jpg,Andrea de Ranieri,Italy,60.2 W , 60.2 H , 1.6 in,"4,910"
4018445-UWVDWQZS-6.jpg,Dariusz Labuzek,United States,30 W , 30 H , 1.5 in,"2,520"
1078326-VBAEKWNK-6.jpg,ESTEVES DE COOMAN,France,39.4 W , 39.4 H , 1.6 in,"2,610"
727252-6.jpg,Thomas Saliot,France,39.4 W , 59.1 H , 0.8 in,"1,410"
3568935-RUJNBFPP-6.jpg,Costel Iarca,United States,72 W , 60 H , 1 in,"10,000"
3155333-DQGZCLUK-6.jpg,Oscar Nin,Spain,43.3 W , 63 H , 0.4 in,"3,000"
2267695-RQDKDVTO-6.jpg,Xiaoyang Galas,France,23.6 W , 7.9 H , 1.6 in,500
1094943-6.jpg,Elizabeth Elkin,Canada,12 W , 14 H , 1 in,655
3373259-TUFXYIZS-6.jpg,Kelly Puissegur,United States,37 W , 49 H , 0.1 in,"1,780"
2306864-ZSBVEAWK-6.jpg,Stephen Rowe,United States,66 W , 46 H , 1.5 in,"6,600"
3234772-NQWQIPPE-6.jpg,Juan Luis Fernández,Spain,47.2 W , 63 H , 0.4 in,"2,190"
1800339-YNRHZLPP-6.jpg,Laurie Raskin,United States,30 W , 22.5 H , 0.1 in,"3,370"
1783599-HVEZHZFD-6.jpg,Madison Bloch,United States,48 W , 30 H , 1.5 in,"2,270"
1241327-ZXFGFYHQ-6.jpg,Eleni Pratsi,France,39.4 W , 39.4 H , 1.6 in,"1,140"
2791586-XNTHDLXA-6.jpg,Shellie Garber,United States,20 W , 20 H , 1.5 in,545
2578959-IDSDNHPM-6.jpg,Magdalena Krzak,United States,30 W , 40 H , 1.5 in,"2,220"
2341811-NXUJFENN-6.jpg,Koen Lybaert,Belgium,19.7 W , 27.6 H , 0.2 in,815
1216448-6.jpg,Andreas Giannoutsos,Greece,19.7 W , 27.6 H , 1.6 in,"2,640"
1078298-6.jpg,Yuri Pysar,Ukraine,23.6 W , 19.7 H , 0.8 in,"1,185"
2972461-TISEYGSN-6.jpg,Young-sung Kim,South Korea,21.7 W , 21.7 H , 1.6 in,"23,000"
2773486-XIPMPDRZ-6.jpg,Madison Bloch,United States,60 W , 48 H , 1.5 in,"6,900"
3017897-NZXAWEYG-6.jpg,Marsha Boston,United States,25 W , 30 H , 0.2 in,"1,050"
2878598-DLHWVTAL-6.jpg,Tomasz Cichowski,Earth,15.7 W , 17.7 H , 0.8 in,880
2198824-QEDKNMSS-6.jpg,Aljona Shapovalova,Russia,23.6 W , 23.6 H , 1.2 in,"2,350"
1449768-6.jpg,Patricia Derks,Netherlands,47.2 W , 47.2 H , 1.6 in,"2,000"
4253763-YQWPXYBG-6.jpg,Claire Desjardins,Canada,60 W , 48 H , 1.5 in,"5,250"
3840469-IWFBLMAC-6.jpg,Harold Westerink,Netherlands,37 W , 55.9 H , 2 in,"1,500"
4193063-TEYZWOYB-6.jpg,Jenny Lundgren,Sweden,27.6 W , 39.4 H , 0.1 in,"1,840"
2617788-ZWSWXORN-6.jpg,Zin Lim,United States,12 W , 16 H , 0.5 in,"1,580"
2231111-WEIDGOZC-6.jpg,Edith Torony,Romania,70.9 W , 70.9 H , 0.8 in,"5,410"
2034171-HTKJZAET-6.jpg,yossi kotler,Israel,35.8 W , 47.2 H , 2 in,"1,740"
1109570-6.jpg,Hannah Dean,United States,72 W , 48 H , 0.1 in,"2,070"
3240211-BGBBFDCX-6.jpg,Harry Moody,United States,16 W , 20 H , 0.5 in,525
961480-6.jpg,HyunRyoung Kim,Canada,30 W , 48 H , 0.8 in,"4,650"
808176-6.jpg,Patricia Derks,Netherlands,31.5 W , 39.4 H , 0.4 in,"2,190"
3160643-EBPAEQCS-6.jpg,Marcela Ramirez-Aza,Colombia,19.7 W , 19.7 H , 1.6 in,"1,440"
3018004-CCFAWEDW-6.jpg,Edith Torony,Romania,59.1 W , 51.2 H , 1.2 in,"4,910"
2295900-BAJACKFJ-6.jpg,Larisa Siverina,Russia,14 W , 20 H , 0.5 in,315
2278579-ZVFADTQX-6.jpg,ESTEVES DE COOMAN,France,39.4 W , 39.4 H , 1.6 in,"2,610"
4409625-TMPVXZVZ-6.jpg,DOMINAULT EVELYNE,France,11.6 W , 9.8 H , 0.6 in,325
3986363-CLXFYWBI-6.jpg,Eric Stefanski,United States,56 W , 68 H , 3 in,"3,470"
954655-6.jpg,Niki Hare,United Kingdom,27.6 W , 19.7 H , 1.4 in,"1,070"
874274-SOMNGTBV-6.jpg,Lise Temple,Australia,47.2 W , 43.3 H , 1.2 in,"3,510"
4362395-IEJBUQMG-6.jpg,Jiri Havlik,Czech Republic,19.7 W , 13.8 H , 0.1 in,544
4191323-OMTVWJIJ-6.jpg,János Huszti,Hungary,39 W , 50 H , 1.2 in,"1,530"
3910501-ZLNCGJKU-6.jpg,FINTAN WHELAN,Ireland,39.4 W , 39.4 H , 0.8 in,"3,750"
1966691-ZAJRMRBG-6.jpg,Hannah Ward,United States,17.3 W , 6.5 H , 0.1 in,245
1816344-NXVVPDUK-6.jpg,Fiona Maclean,Australia,15 W , 20 H , 0.2 in,500
4104529-ADSQEVUD-6.jpg,A Ruiz Villar,Spain,11.8 W , 11.8 H , 1.6 in,"1,140"
1033978-MSQFTIYW-6.jpg,Christian Hetzel,Germany,39.4 W , 51.2 H , 0.8 in,"11,400"
3904467-QIDJWXOX-6.jpg,Gagyi Botond,Romania,9.1 W , 9.8 H , 0.6 in,500
2732483-IVLSOJQC-6.jpg,Annabel Andrews,Spain,15.7 W , 15.7 H , 1.6 in,580
2628303-HHNQKWXO-6.jpg,Rudolf Kosow,Germany,57.1 W , 57.1 H , 0.8 in,"7,750"
2518449-YXRRCMGH-6.jpg,Annabel Andrews,Spain,25.6 W , 31.9 H , 0.8 in,"1,840"
2080365-PDGQVYCA-6.jpg,Hennie van de Lande,Netherlands,39.4 W , 39.4 H , 1.6 in,"2,245"
2042248-BOEIRNII-6.jpg,artist Chu Van,Vietnam,31.5 W , 31.5 H , 1.9 in,"3,350"
4416639-ISANSJNH-6.jpg,Peter Nottrott,Germany,61 W , 32.7 H , 1.5 in,"2,330"
1479576-WJCGEHCA-6.jpg,Dragomir Misina,United Kingdom,29.5 W , 43.3 H , 2 in,"3,310"
4304567-YHCUUAIF-6.jpg,Maria Remedios Kleinschmidt,Germany,16.5 W , 11.6 H , 0 in,890
3541449-WABNBTPM-6.jpg,Michelle Daisley Moffitt,United States,11 W , 14 H , 1.5 in,545
920961-QKXOANBJ-6.jpg,Jim Harris,Japan,24 W , 29 H , 1 in,520
795884-6.jpg,Juan de la Rica,Spain,23.6 W , 11.8 H , 1.2 in,760
4343087-IZXRBVUX-6.jpg,Jiri Havlik,Czech Republic,43.3 W , 63 H , 0.8 in,"4,899"
4018567-LDOFZMMG-6.jpg,Michael Nauert,United States,11 W , 15 H , 0.1 in,175
2784671-ILBGHNPY-6.jpg,Hyeran Lee,Canada,30 W , 40 H , 1.5 in,"2,910"
2737651-WVSWFESH-6.jpg,Roger König,Germany,39 W , 51 H , 0.8 in,"6,750"
2459500-AZUQIGXE-6.jpg,Gábor Szűcs,Slovakia,59.1 W , 78.7 H , 0.8 in,"2,190"
1683322-GRZIBARX-6.jpg,Detlef Gotzens,Canada,12 W , 12 H , 1.8 in,520
1579728-ISRKGTQT-6.jpg,Marijah Bac Cam,France,19.7 W , 19.7 H , 0.8 in,860
